type,start,end,_end,title,description,category,project,keyword
Cinema,1922-00-00,1922-00-00,,Writes his first essay on film theory,"With Sergei Jutkevič, Sergei Eisenstein writes his first essay on Film Theory: The eighth art. About Expressionism, America and, of course, Charlie Chaplin. In this essay, Sergei Eisenstein examines the anti-illusionist tendencies of European and American film production and lists as examples almost everything that shows the approach to eccentricity: The Cabinet of Dr. Caligari, Charlie Chaplin, the abstract film and the American detective and adventure film.",Cinema and Theatre;Writing and Teaching,,Jutkevič;The eighth art. About Expressionism;America;Charlie Chaplin
Cinema,1922-01-26,,,Set designs for the MASTFOR production Melodramatic Sketch by Vladimir Mass.,Set designs for the MASTFOR production Melodramatic Sketch by Vladimir Mass.,Cinema and Theatre;Graphic Art,,Melodramatic Sketch;Foregger Workshop
Biography,1922-01-00,1922-01-00,,Letter exchange between Sergei Eisenstein in Moscow and Sergei Jutkevič in Petrograd.,"With Sergei Jutkevič, who stays in Petrograd, Sergei Eisenstein conducts an exchange of letters about the cultural events in the two cities. They sign with the pseudonym ""Pipifax"" borrowed from the clown name. Eisenstein is ""Pipi"", Jutkevič is ""Fax"".",Biography and Personality,,Jutkevič;Pseudonym;Pipifax
Cinema,1922-01-00,1922-01-00,,"Set designs for guitar and Schrammel, or The revenge of the anarchist; the author has not been identified.","Set designs for Gitarre und Schrammel, oder DieRache des Anarchisten; the author has not been identified.",Cinema and Theatre;Graphic Art,,Guitar and Schrammel;The revenge of the anarchist
Cinema,1922-01-00,1922-06-00,1922-06-00,Designs for Heartbreak House.,"Set and costume designs for the ""wrathful comedy"" Heartbreak House by George Bernard Shaw, inspired by Anton Čechov; the director is Vsevolod Meyerhold in the Moscow Theatre of Actor.",Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Heartbreak House by Shaw;Anton Čechov;Meyerhold;Moscow Theatre of Actor;Comedy
Cinema,1922-00-00,1922-00-00,,Designs for The Kidnapper for MASTFOR.,In the beginning of the year Eistenstein works on costume and figure designs for the drama The Kidnapper based on The Two Orphans by Adolphe dEnnery; the three-act play was performed in three parts at MASTFOR on three evenings in a row; each performance lasted 2 1/2 hours.,Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Die Kinderdiebin;Adolphe d'Ennery;Foregger Workshop
Cinema,1922-02-10,,,Designs for Masks.,"Set design for a composition by Claude Debussy, Masks.",Cinema and Theatre;Graphic Art,,Claude Debussy;Masques;Set Design
Cinema,1922-04-25,,,Develops the scenario of a script for the Moscow travelling circus.,Sergei Eisenstein develops the scenario of a script for the Moscow travelling circus.,Cinema and Theatre,,Moscow travelling circus
Cinema,1922-04-25,,,Premiere of Macbeth in the TEO.,Premiere of Macbeth in the TEO. The performanceis not a success and is cancelled after only one week.,Cinema and Theatre,,Macbeth;TEO
Cinema,1922-00-00,1922-04-25,1922-04-25,Participation in the rehearsals and the premiere of Le Cocu magnifique.,Participation in the rehearsals and the premiere of Fernand Crommelyncks jealousy farce Le Cocu magnifique in Vsevolod Meyerholds production at the GVYTM.,Cinema and Theatre,,F. Crommelynck;Le Cocu magnifique;Meyerhold;State Higher Theatre Workshops
Biography,1922-04-26,1922-05-01,1922-05-01,"Makes acquaintance of Grigorij Kosincev and Leonid Trauberg, the founders of FĖKS, in Petrograd.","Sergei Eisenstein goes to Petrograd with Sergei Jutkevič and there makes the acquaintance of Grigorij Kosincev and Leonid Trauberg, the founders of FĖKS (Factory of the Eccentric Actor, an actors collective founded by Kosincev and Trauberg in Petrograd on December 9,1921, which published an artistic manifesto entitled Eccentrism.), with whom he is connected by the conception of eccentric forms of expression.",Biography and Personality;Cinema and Theatre,,Jutkevič;Grigorij Kosincev;Leonid Trauberg;Factory of the Eccentric Actor;Eccentrism
Cinema,1922-05-01,,,Adapts the pantomime The Veil of Pierrette under the title The Veil of Columbina together with Jutkevič.,"Together with Sergei Jutkevič, Sergei Eisenstein adapts the pantomime The Veil of Pierrette by Ernst von Dohnányi, set to music based on motifs from Arthur Schnitzlers play The Veil of Beatrice, and produced by Vsevolod Meyerhold in 1910 under the pseudonym Dr. Dapertutto and in 1916 under the title The Scarf of Columbine in St. Petersburg. Eisenstein and Jutkevič give the new edition for MASTFOR the title The Veil of Columbina and dedicate the adaptation, understood as a parody of Aleksandr Taïrovs production of The Veil of Pierrette (1913), to ""Vsevolod Meyerhold, master of the scarf - the sub-masters of the garter"".",Cinema and Theatre,,"Jutkevič;Pantomime;The Veil of Pierrette;Ernst von Dohnányi;The Veil of Beatrice;Meyerhold;Pseudonym;Dr. Dapertutto;The Sash of the Colombine;Jutkevič,The Bridal Veil of Columbina;Foregger Workshop;The Veil of Pierrette"
Cinema,1922-00-00,1922-00-00,,"Reworking The Veil of Columbina in summer, but meeting Nikolaj Foreggers resistance.","In summer Sergei Eisenstein and Sergei Jutkevič rework the set design of The Veil of Columbina another time, now under the title The Columbian Girl’s Garter. Thescenario, which takes two months to develop, not only contains detailed stage directions, but also describes the movements of the actors, the lighting and the tricks in great detail. The production of the piece fails due to Nikolaj Foreggers resistance.",Cinema and Theatre,,The Veil of Pierrette;The Garter of Columbina;Jutkevič
Cinema,1922-06-00,1922-06-00,,Sergei Eisenstein is appointed deputy director of the TEO.,Sergei Eisenstein is appointed deputy director of the TEO.,Cinema and Theatre;Writing and Teaching,,TEO
Cinema,1922-07-00,1922-07-00,,Sergei Eisenstein is appointed director of the TEO.,Sergei Eisenstein is appointed director of the TEO.,Cinema and Theatre;Writing and Teaching,,TEO
Cinema,1922-00-00,1922-00-00,,Assistant director to Vsevolod Meyerhold on The Death of Tarelkin and preparing Heartbreak House at the same time.,"In autumn Sergei Eisenstein takes over as assistant director at the Meyerhold staging of Aleksandr V. Suchovo-Kobylins stage play The Death of Tarelkin (1869) for Vsevolod Meyerholds GVYRM; in parallel, final work as set designer and the over nine months of rehearsals for George Bernard Shaws Heartbreak House (1919), which is never performed.",Cinema and Theatre;Graphic Art,,Meyerhold;Aleksandr V. Suchovo-Kobylin;The Death of Tarelkin;Heartbreak House
Cinema,1922-09-25,,,"Sees first FĖKS theatre performance, which uses film inserts.","At the Petrograd Proletkult Theatre Sergei Eisenstein sees the first production of FĖKS, Marriage by Gogol, in which a film fragment Charlie and the cocotte Batsy is inserted.",Cinema and Theatre,Proletkult,Proletkult;the Marriage of Gogol
Cinema,1921-12-00,1923-00-00,1922-05-00,"For the First Workers Theatre of the Proletkult, Sergei Eisenstein works with Valentin Smyšljaev on the production of Valerijan Pletnëvs Precipice. Eisensteins costume and stage designs show influences of cubism; they also contain elements of his later film work.","For the First Workers Theatre of the Proletkult, Sergei Eisenstein joins Valentin Smyšljaev on the already ongoing preparations for the production of Valerijan Pletnëvs Precipice. Eisensteins costume and set designs show influences of cubism; they also contain elements of his later film work.",Cinema and Theatre;Graphic Art,Proletkult,First Workers' Theatre of the Proletkul't;Smyšljaev
Biography,1922-05-00,1923-00-00,,Leaves Proletkult for about a year due to a fallout with Valentin Smyšljaev.,"While working on the production Precipice Sergei Eisenstein has a fallout with Valentin Smyšljaev, a Konstantin Stanislavskij student. Eisenstein then leaves Proletkult for about a year.",Biography and Personality;Cinema and Theatre,Proletkult,Above the Gorge;Proletkult;Smyšljaev
Biography,1922-10-00,1923-00-00,1923-00-00,"Begins preparations for the production of Enough Simplicity in Every Wise Man, but Proletkult management drops it after dress rehearsals.","In the First Workers Theatre of the Proletkult in Moscow, Sergei Eisenstein begins preparations for the production Enough Simplicity in Every Wise Man after Aleksandr Ostrovskij, arranged in a ""free text composition"" by Sergei Tretjakov. The Proletkult management initially accepts the production, but after the dress rehearsal it is dropped.",Biography and Personality;Cinema and Theatre,Enough Simplicity in Every Wise Man,
Biography,1922-11-00,1922-12-00,1922-12-00,Leaves GVYRM and takes over the leadership of the PERETRU theatre group.,"Encouraged by Zinaïda Rajch, later wife of Vsevolod Meyerhold, Sergei Eisenstein declares his resignation from the GVYRM and takes over the leadership of an independent Touring Theatre formed by members of the Central Proletkult Theatre, the PERETRU.",Biography and Personality;Cinema and Theatre,Proletkult,Zinaïda Rajch;Meyerhold;GVYRM;Central Proletkul't Theatre;PERETRU;State Higher Theatre Workshops
Cinema,1922-11-24,,,Premiere of The Death of Tarelkin.,"Premiere of the Meyerhold production The Death of Tarelkin at the Theatre GITIS, Moscow.",Cinema and Theatre,,Meyerhold;The Death of Tarelkin;Theatre GITIS
Cinema,1922-00-00,1922-00-00,,Works on several more plays for GVYRM and MASTFOR in the year 1922.,"Among others Sergei Eisenstein creates set and costume designs for William Shakespeare, The Merchant of Venice (1597), a study assignment at the GVYRM, an Vladimir Mass, The Treaty of Ghent for the MASTFOR.",Cinema and Theatre;Graphic Art,,State Higher Theatre Workshops;The Merchant of Venice;GVYRM;The Guarantees of Ghent;MASTFOR;State Higher Theatre Workshops
Biography,1922-00-00,1923-00-00,1923-00-00,Meets Lev Kulešov and attends his Film Workshop for three months.,"Between the end of 1922 and January Sergei Eisenstein meets Lev Kulešov for the first time in the Proletkult Theatre, who reports on the encounter in his memoirs: ""I asked Sergei Eisenstein if I could work on sports training (gymnastics, expressive movement, boxing) with the students of our working group in the Proletkult House. Sergei Eisenstein agreed, but asked me in return to give lectures on film for the Proletkult group that he led [...] My lectures at the Proletkult began to interest Sergei Eisenstein and soon he came over to the Zone-Theatre in the evening [...] to our group and worked on montage exercises (only on paper as a script, of course). This went on every evening for three months and always with full zeal [...] We spent hours every night with montage exercises - without film material - of mass scenes. This is where certain common features and similarities between the mass scenes in Strike and the same scenes in The Death Ray come from. When Sergei Eisenstein studied with us, he proved with brilliance one of his sayings: Everyone can become a film director, but one must study for two years and the other for 200 years. Sergei Eisenstein studied in the workshop for three months.""",Biography and Personality;Cinema and Theatre,Proletkult,Lev Kulešov;Strike;The Death Ray
Cinema,1923-01-14,,,Decides to produce a film insert entitled Glumovs Diary for the staging of Enough Simplicity in Every Wise Man.,Sergei Eisenstein decides to include a kind of Kinopravda (Dziga Vertov called his documentary newsreel films since 1922 Kinopravda - film truth.) as an additional attraction in the staging of Enough Simplicity in Every Wise Man. The sequence is entitled Glumovs Diary.,Cinema and Theatre,Glumov's Diary;Enough Simplicity in Every Wise Man,Enough Simplicity in Every Wise Man;Glumov's Diary;Kinopravda
Cinema,1923-03-06,,,Preparation for the shooting of Glumovs Diary begins.,Sergei Eisenstein begins preparing for the shooting of Glumovs Diary.,Cinema and Theatre,Glumov's Diary,Glumov's Diary
Cinema,1923-04-02,,,"On the occasion of Vsevolod Meyerholds 25th theatre anniversary, one episode from Enough Simplicity in Every Wise Man is performed.","On the occasion of Vsevolod Meyerholds 25th theatre anniversary, the episode Joffre off to Campaign from the Enough Simplicity in Every Wise Man is performed at the Bolshoi Theatre.",Cinema and Theatre,Enough Simplicity in Every Wise Man,Enough Simplicity in Every Wise Man;Meyerhold;Bolšoj Theatre;Glumov's Diary
Cinema,1923-04-19,,,Sergei Eisensteins first film work with the shooting for Glumovs Diary.,"Sergei Eisensteins first film work with the shooting for Glumovs Diary. Dziga Vertov is assigned to Eisenstein by Goskino as a consultant, but he leaves the recording work after two or three shots. Sergei Eisenstein is later amused that Vertov did not get along with ""theatre people in white atlas and clown clapping"".",Cinema and Theatre,Glumov's Diary,Glumov's Diary;Dziga Vertov
Cinema,"1923-04-21 (?), 1923-04-22 (?), 1923-04-26, 1923-05-08",,,First public performances of Enough Simplicity in Every Wise Man.,"First public performances of Enough Simplicity in Every Wise Man in the First Workers Theatre of Proletkult, Moscow, Nozdviženka 16. This expansion of eccentric attractions is met with an almost entirely positive response from the public and critics. In the discussion about the production, however, the question arises as to what this still has to do with Workers Theatre.",Cinema and Theatre,Enough Simplicity in Every Wise Man;Proletkult,Enough Simplicity in Every Wise Man;First Workers' Theatre of the Proletkul't
Cinema,1922-09-30,1923-00-00,1923-00-00,Work on Precipice is resumed. It is now to be staged under the title Patatras.,"Sergei Eisenstein and Valerijan Pletnëv work again on Pletnëvs piece Precipice. Grigoryi Aleksandrov joins as co-author. Eisenstein suggests to rewrite it, including some motifs from Upton Sinclairs novel King Coal (1917). The new version is to be staged as a detective play under the title Patatras. He sketches set and costume designs.",Cinema and Theatre;Graphic Art,,Über der Schlucht;Over the Gorge;Grigori Aleksandrov;Patatras
Cinema,1923-00-00,1923-00-00,,Sergei Eisenstein and Valerijan Pletnëv write a third version of Precipice or Patatras under the title Proryv.,"Sergei Eisenstein and Valerijan Pletnëv write a third version of Precipice or Patatras, this time under the title Proryv, the breakthrough.",Cinema and Theatre,,
Cinema,1923-00-00,,,Exposé and designs for Garlands Inheritance.,"Together with Grigoriy Aleksandrov, Sergei Eisenstein writes an exposé for a play named Garlands Inheritance for Valerijan Pletnëv and designs sets for it.",Cinema and Theatre;Graphic Art,,
Cinema,1923-00-00,1923-10-00,,Writes Expressive Movement together with Sergei Tretjakov.,"In spring and summer Sergei Eisenstein writes the study Expressive Movement together with Sergei Tretjakov, in which he polemicizes against the methods of François Delsarte, Rudolf Bode and Vsevolod Meyerhold.",Cinema and Theatre;Writing and Teaching,,Expressive Movement;Sergei Tret'jakov;Delsarte;Rudolf Bode;Meyerhold
Cinema,1923-05-20,,,Publication of The Montage of Attractions marks beginning of his theoretical-analytical work.,"Sergei Eisenstein writes the fundamental essay The Montage of Attractions. With this staging principle of the dynamic and eccentric agitation theatre (""left wing"" of Proletkult), which he developed together with Boris Arvatov, Sergei Eisenstein at the same time sets himself apart from the direction represented by Valerijan Pletnëv of the representational-narrative theatre (""right wing"" of Proletkult). With this in the magazine of the LEF-Group published Manifesto, Sergei Eisenstein begins his theoretical-analytical work, parallel to his creative and practical theatre and film work.",Cinema and Theatre;Writing and Teaching,,The Montage of Attractions
Cinema,1923-09-00,1923-12-00,1923-10-00,"Works on set and staging of Can You Hear Me, Moscow?","Sergei Eisenstein works on the set and staging of Sergei Tretjakovs Agitguignol Can You Hear Me, Moscow? for the First Workers Theatre of the Proletkult in Moscow, which deals with the revolutionary events in Germany culminating in the Hamburg Uprising.",Cinema and Theatre;Graphic Art,Proletkult;Can You Hear Me Moscow?,Sergei Tret'jakov;Can You Hear Me Moscow?;First Workers' Theatre of the Proletkul't;Hamburg Uprising
Cinema,1923-11-07,,,"Premiere of Can You Hear Me, Moscow?.","First performance of Can You Hear Me, Moscow? in the First Workers Theatre of the Proletkult. Due to the concrete task of the production, to intensify the mobilization of volunteers to Germany, Sergei Eisenstein turns for a short time to a subject related topic. The production, which uses sparse Grand Guignol resources, provokes strong emotional reactions in the audience.",Cinema and Theatre;Graphic Art,Proletkult;Can You Hear Me Moscow?,Can You Hear Me Moscow?;First Workers' Theatre of the Proletkul't
Cinema,1923-12-00,1924-03-31,,Begins work on the design and direction of Sergei Tretijakovs melodrama Gas Masks.,"Sergei Eisenstein begins work on the design and direction of Sergei Tretijakovs melodrama Gas Masks, a collective drama whose treatment is ""in the style of tangible, milieu-related everyday life"". The goal of the production ""is an agitation that organizes production and milieu"". In this production, Sergei Eisenstein deals for the first time with the design of mass scenes, an elementary theme of his first films.",Cinema and Theatre;Graphic Art,Gas Masks;Proletkult,Sergei Tret'jakov;Gas Masks
Cinema,"1924-02-29, 1924-03-04/06",,,Premiere of Gas Masks.,World premiere of the Gas Masks by the PERETRU of the First Workers Theatre in a Moscow gas plant. The relocation from the theatre to a factory represents another attempt by Sergei Eisenstein to overcome the illusionary character of the show.,Cinema and Theatre;Graphic Art,Gas Masks;Proletkult,Gas Masks;First Workers' Theatre of the Proletkul't
Cinema,1924-03-29,,1924-03-31,Rearranging the montage of Fritz Langs Dr. Mabuse.,Sergei Eisenstein works with Esfir I. Šub on recutting Fritz Langs Dr. Mabuse. This version is called Gilded Putrefaction.,Cinema and Theatre,,Esfir I. Šub;Fritz Lang;Dr. Mabuse
Cinema,1924-05-21,1924-06-00,,Premiere of Kinopravda No. 16 by Dziga Vertov containing a part from Glumovs Diary.,Premiere of Kinopravda No. 16 by Dziga Vertov containing a part from Glumovs Diary.,Cinema and Theatre,Glumov's Diary,Glumov's Diary;Kinopravda No. 16;Dziga Vertov
Cinema,1924-04-01,1924-06-00,,Presents the plans for the film cycle Towards Dictatorship to Goskino.,Sergei Eisenstein presents to the First Goskino Studio the first eight part plan for a film cycle about the history of the Soviet workers movement - Towards Dictatorship.,Cinema and Theatre,,Towards Dictatorship
Cinema,1924-06-00,1924-10-00,,"Begins working on the screenplay for Strike, the fifth part of the cycle Towards Dictatorship.","With the participation of Grigoriy Aleksandrov and several Proletkult employees, Sergei Eisenstein begins working on the screenplay for Strike, the fifth part of the cycle Towards Dictatorship.",Cinema and Theatre,Strike;Proletkult,Towards Dictatorship;First Workers' Theatre of the Proletkul't;Strike;Grigori Aleksandrov
Cinema,1924-06-00,1924-10-00,,Meets Eduard Tissé for the first time.,"First encounter of Sergei Eisenstein and Eduard Tissé in the Morozov Villa. Boris Michin, director of the First Goskino Studio, introduces them to each other.",Cinema and Theatre,,Eduard Tissé;Morozov Villa;Boris Michin;First Goskino Studio
Biography,1924-06-00,1924-10-00,1924-10-00,Meets Juan Alvarez del Vayo for the first time.,"First meeting with Juan Alvarez del Vayo, the later politician of republican Spain.",Biography and Personality,,Juan Alvarez del Vayo
Cinema,1924-06-00,1924-11-00,1924-10-00,"Shooting of Strike, among others in the Simonovskij district and at the First Goskino Studio.","Shooting of Strike, among others in the Simonovskij district, a working-class neighborhood near Moscow and in the First Goskino Studio in Sythnaja Street.",Cinema and Theatre,Strike,Strike;First Goskino Studio;Simonovskij district
Cinema,1924-10-00,1924-11-00,,Writes the essay Montage of Film Attractions.,"Sergei Eisenstein writes the essay Montage of Film Attractions, which A. Belenson publishes in the book Der Film heute in mutilated form as an Sergei Eisenstein chapter.",Cinema and Theatre;Writing and Teaching,,Montage of Film Attractions;Der Film heute;Montage
Cinema,1924-11-00,1924-11-00,,Montage of Strike.,Montage of Strike.,Cinema and Theatre,Strike,Strike;Montage
Cinema,1924-11-00,1924-11-00,,Concludes a contract with Proletkult for further collaboration until May 1926,"Sergei Eisenstein concludes a contract with Proletkult for further collaboration until May 1926, whereby he is entitled to refuse to participate in productions that do not correspond to his ideas.",Cinema and Theatre,Proletkult,First Workers' Theatre of the Proletkul't
Cinema,1924-11-00,1924-11-00,,Renewed conflict with Proletkult triggered by the dispute over the copyright of the Strike scenario.,"Renewed conflict with Proletkult triggered by the dispute over the copyright of the Strike scenario. In the following debate with Valerijan Pletnëv, the head of the executive office of the Moscow Proletkult, Sergei Eisenstein accuses Proletkult ""that the executive organs [...] did not steer a fixed course of theatre, neither in the repertoire nor in questions of principle and form [...] On the part of Proletkult, the occupation with theatre work was a pure censorship issue. Proletkults overall assessment of the work usually resulted in the sacramental formula ""ideologically consistent"", whereby 90% of this was related to the subject and the milieu-related coherence of the details. (B12.1, p. 204f.) Pletnëv, on the other hand, takes a public stand against Eisensteins ""formalism and trickery"" and ""against the introduction of a number of dubious elements of Freudian provenance"".",Cinema and Theatre,Strike;Proletkult,First Workers' Theatre of the Proletkul't;Strike
Biography,1924-11-00,1924-12-00,,Sergei Eisenstein decides to leave Proletkult.,"Sergei Eisenstein decides to leave Proletkult in the middle of november. ""The reason for this lies [...] in the legal deviation of Proletkults petty-bourgeois-realist attitude, which is absolutely incompatible with my work.""",Biography and Personality;Cinema and Theatre,Proletkult,First Workers' Theatre of the Proletkul't
Biography,1924-11-00,1924-12-00,,Rejects one of Vsevolod Meyerholds staging offers and Goskinos proposal on Towards Dictatorship,"Over the dispute with Proletkult Sergei Eisenstein rejects one of Vsevolod Meyerholds staging offers, as well as Goskinos proposal to film the remaining seven series of the cycle Towards Dictatorship in collaboration with Proletkult.",Biography and Personality;Cinema and Theatre,Proletkult,First Workers' Theatre of the Proletkul't;Towards Dictatorship;Meyerhold;Goskino
Cinema,1924-12-00,,,Finishes work on Strike.,He finishes work on Strike and defends his montage unit against Proletkults demands for corrections.,Cinema and Theatre,Strike;Proletkult,First Workers' Theatre of the Proletkul't;Strike;Montage
Cinema,1924-12-00,1922-00-00,,Starts working on a film based on Red Cavalry.,"Together with Jakow Blioch and Grigoriy Aleksandrov, Sergei Eisenstein is working on systematizing the historical material and setting up the scenario for a film by the Sevzapkino Studio, ""dedicated to the history of the Red Cavalry [after Isaac Babel]"". ""Formally, the film will be a continuation of the ideas I already demonstrated in Strike, that is, it will present social-mass-related themes.""",Cinema and Theatre,,Blioch;Grigori Aleksandrov;Sevzapkino studio;Red Cavalry
Biography,1924-12-04,1924-00-00,,Is ejected from Proletkult by the Executive Committee of the Moscow Proletkult.,"Decision of the Executive Committee of the Moscow Proletkult: ""It is determined that S. M. Eisenstein, by his last performances and by his general behavior towards Proletkult, created a situation which makes his further stay with Proletkult impossible. He is to be released from his work with Proletkult.""",Biography and Personality;Cinema and Theatre,Proletkult,Proletkult
Biography,1922-00-00,,,Portrait of Sergei Eisenstein,Portrait of Sergei Eisenstein,Biography and Personality,,
Biography,1924-00-00,,,"Boris Pasternak, Sergei Eisenstein, Olga Tretjakova, Lilja Brik und Wladimir Majakovskij, Moscow 1924","Boris Pasternak, Sergei Eisenstein, Olga Tretjakova, Lilja Brik und Wladimir Majakovskij, Moscow 1924",Biography and Personality,,
Cinema,1925-01-21,,,Justifies his separation from Proletkult and gives details about the filming of the history of the cavalry army.,"Sergei Eisenstein once again justifies his separation from Proletkult and gives details about the filming of the history of the cavalry army. He would now ""exclusively dedicate himself to the film work [...]"".",Cinema and Theatre,Proletkult,Proletkult
Cinema,1925-03-17,,,The Central Executive Committee of the USSR (CIK) decides to film the scenario presented by Nina Agadžanova Šutko for an anniversary film about the 1905 revolution.,"The Central Executive Committee of the USSR (CIK), headed by Anatolij Lunačarskij and with the co-chairmen Kasimir Malevič, Vsevolod Meyerhold, L. Michajlov, Valerijan Pletnëv, V. Krasin, Kirill Šutko and Sergei Eisenstein decides to film the scenario presented by Nina Agadžanova-Šutko for an anniversary film about the 1905 revolution. The plan is to create a panorama of the most important events of 1905, from the aftermath of the Russo-Japanese War to the proclamation of the Manifesto of October 17. Sergei Eisenstein is commissioned to direct the film with the condition that one of the planned episodes be completed by December 20. The later Battleship Potemkin runs under the working title The Year 1905. The film project Red Cavalry is postponed.",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Central Executive Committee of the USSR (CIK);A. V. Lunačarskij;K. Malevič;V. Meyerhold;L. Michajlov;V. Pletnëv;V. Krasin;K. Šutko;Nina Agadžanova Šutko;The Year 1905
Cinema,1925-03-19,,,Begins in Moscow with the first recordings for The Year 1905.,Sergei Eisenstein begins with the first recordings for The Year 1905 in Moscow. He films a strike by the employees of a funeral parlor that is not part of the scenario.,Cinema and Theatre,The Year 1905,The Year 1905
Cinema,1925-04-28,,,World premiere of the Strike as a joint production of the First Studio of Goskino and the First Workers Theatre of the Proletkult.,World premiere of the Strike as a joint production of the First Studio of Goskino and the First Workers Theatre of the Proletkult. […],Cinema and Theatre,Strike;Proletkult,Strike';First Studio of Goskino;First Workers' Theatre of the Proletkul't
Cinema,1925-06-04,1925-07-00,,The scenario The year 1905 is approved by the Presidium of the Central Executive Committee for the 20th anniversary of the 1905 Revolution.,The scenario The year 1905 is approved by the Presidium of the Central Executive Committee for the 20th anniversary of the 1905 Revolution.,Cinema and Theatre,The Year 1905,The Year 1905
Biography,1925-06-09,,,Attends a memorial evening of the participants of the 1905 Revolution.,"Sergei Eisenstein, Grigoriy Aleksandrov and Nina Agadžanova-Šutko attend a memorial evening of the participants of the 1905 Revolution.",Biography and Personality,The Year 1905,The Year 1905;Grigori Aleksandrov;Agadžanova-Šutk
Cinema,1925-07-00,,,"Works on the screenplays for The Year 1905, Benja Krik and the pot-boiler Bazaar of Desires simultaneously.","In Nina Agadžanova-Šutkos dacha in Nemchinovka, Sergei Eisenstein works on the screenplay for The Year 1905 with Agadžanova-Šutko and Grigoriy Aleksandrov and develops a scenario for the project Benja Krik from the Odessa Tales together with Isaak Babel. Due to lack of money, Eisenstein and Aleksandrov simultaneously write a pot-boiler screenplay under the collective pseudonym Taras Nemchinov with the title Bazaar of Desires, which they sell to Proletkino.",Cinema and Theatre,The Year 1905,The Year 1905;Grigori Aleksandrov;Agadžanova-Šutk;Benja Krik;Odessa Tales;Isaak Babel;Pseudonym
Cinema,1925-07-02,,,Plans to shoot The Year 1905 and Benja Krik simultaneously.,"Sergei Eisenstein writes to his mother: ""Parallel [to The Year 1905] I will shoot Benja Krik according to the screenplay of Babel. (Do you remember that I read this Odessa story in LEF? Both are very interesting, but a hellish work.""",Cinema and Theatre,The Year 1905,The Year 1905;Benja Krik;The Odessa Tales;Isaac Babel
Cinema,1925-07-28,,,Estimates the time needed for The Year 1905 to be a total of 250 recording days with 18-20.000 people.,"Sergei Eisenstein estimates the time needed for The year 1905 to be a total of 250 recording days with 18-20.000 people. He cites August 1926 as the completion date for the entire panorama film: ""The film will portray the heroic pathos of the first Russian revolution and the forces that supported and determined it (the workers, peasants, soldiers, sailors, the student body, and the splitoff democracy - the liberalists).",Cinema and Theatre,The Year 1905,The Year 1905
Cinema,1925-08-15,1925-10-00,,"Fourteen light projectors are used in Leningrad at around two oclock at night to record the sequence The Dead Petersburg, which is not used later.","Fourteen light projectors are used in Leningrad at around two oclock at night to record the sequence The Dead Petersburg, which is not used later.",Cinema and Theatre,,The Dead Petersburg;Goskino;Kapčinskij;Odessa on the Black Sea
Cinema,1925-08-24,1925-09-00,,In Odessa the decision to focus on the events on the Battleshipt Potemkin is taken.,"Sergei Eisensteins arrival in Odessa - At the advice of the director of Goskino, Michaïl Kapčinskij, shooting is moved from Leningrad to Odessa on the Black Sea due to bad weather conditions. Thus the decision for the episode about the uprising of the Black Sea Fleet is made. The film project about The Year 1905 focuses on the events on the Battleship Potemkin: The sailors revolt becomes an exemplary event of the revolution. Only 44 of the 820 shots of Nina Agadžanova-Šutkos scenario are taken.",Cinema and Theatre,The Year 1905;Battleship Potemkin,Agadžanova-Šutko
Cinema,1925-08-00,,1925-10-00,Sergei Tretjakov follows the recordings for The year 1905,Sergei Tretjakov follows the recordings for The year 1905 in Odessa as deputy director of the artistic council of the First Goskino Studio.,Cinema and Theatre,,Sergei Tret'jakov;The Year 1905;First Goskino Studio
Cinema,1925-09-00,1925-09-00,,The scenes on the stairs for Potemkin are shot in Odessa.,The scenes on the stairs for Potemkin are shot in Odessa.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin
Cinema,1925-09-13,1925-10-00,,Grigoriy Aleksandrov telegrams from Moscow that Eduard Tissé is ready to take over the camera work.,Grigoriy Aleksandrov telegrams from Moscow that Eduard Tissé is ready to take over the camera work. At first Aleksandr Levickij had worked as cinematographer.,Cinema and Theatre,,Grigori Aleksandrov;A. A. Levickij;Eduard Tissé;Telegram
Cinema,1925-09-00,,,Arrival of Eduard Tissé in Odessa.,Arrival of Eduard Tissé in Odessa on September 23rd the latest.,Cinema and Theatre,,Eduard Tissé
Cinema,1925-10-00,,,Shooting of the scenes on board of the battleship in Sevastopol.,"The film team arrives in Sevastopol on October 22nd the latest. On the warships 12 Apostles and Comintern the scenes with the rotten meat and - on the last day of shooting - the tumult on deck of the Potemkin are filmed. In this sequence Sergei Eisenstein doubles the actor of the Pope, which led to the rumor that Sergei Eisenstein played the Pope himself.",Cinema and Theatre,Battleship Potemkin,12 Apostles;Comintern;Battleship Potemkin
Cinema,1925-10-26,,,Strike is awarded the gold medal at the Decorative Arts Exhibition.,Strike is awarded the gold medal at the Decorative Arts Exhibition after the first public screening in the West in Paris.,Cinema and Theatre,Strike,Strike;Decorative Arts Exhibition
