type,start,_end,end,title,description,category,project,keyword,people,places,works,artistic,additional,display temporal,source,displayTemporal,reference,image,VRobject,Event_ID
Cinema,1921-04-13,1921-01-22,,Joins theatre board of Proletkult Central Arena.,"Sergei Eisenstein is confirmed as a member of the theatre board of the Proletkult Central Arena. In this board, among other things, questions of the repertoire are regulated.",Cinema and Theatre,Proletkult,Proletkult Central Arena,,Russian Soviet Federative Socialist Republic;Russia;Moscow;Proletkult Central Arena,,,Proletkult,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 32,,,,,member_board_proletkult
Cinema,1921-04-21,,1921-07-00,Works on the director's draft and design of the set for 'King Hunger'.,Sergei Eisenstein works on the director's draft and design of the set for the allegorical-symbolic play 'King Hunger' by Leonid Andreev.,Cinema and Theatre;Graphic Art,,Tsar Hunger;Andreev,Leonid Andreev,,King Hunger,,Set Design;Director,21 April 1921 to July 1921,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 33,21 April 1921 to July 1921,,,,directors_draft_designs_tsar_hunger
Cinema,1921-04-00,1921-07-00,,Observes Vsevolod Meyerhold and Vladimir Maiakovski during one of the last rehearsals for 'Mystery-Bouffe',Sergei Eisenstein observes Vsevolod Meyerhold and Vladimir Maiakovski during one of the last rehearsals for 'Mystery-Bouffe' (Second Version) inTheatre One of the RSFSR in Moscow until he is expelled.,Cinema and Theatre,,Meyerhold;Maiakovski;Mystery Bouffe;Russian Soviet Federative Socialist Republic,Vsevolod Meyerhold;Vladimir Maiakovski,Russian Soviet Federative Socialist Republic;Russia;Moscow;Theatre One of the RSFSR,,,Proletkult,End of April 1921,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 33,End of April 1921,,,,mystery_bouffe
Cinema,1921-05-01,1921-04-00,,Premiere of 'Dawn of the Proletkult'.,Premiere of 'Dawn of the Proletkult'.,Cinema and Theatre,Proletkult,Dawn of the Proletkult;Proletkult,,Russian Soviet Federative Socialist Republic;Russia;Moscow;First Workers' Theatre of the Proletkult,Dawn of the Proletkult,,Premiere;Proletkult,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 33,,,,,premiere_dawn_proletkult
Cinema,1921-05-03,,,First internal performance of 'The Mexican',First internal performance of the 'The Mexican' by the Proletkult Theatre.,Cinema and Theatre,Proletkult,The Mexican;Proletkult Theatre;Proletkult,,Russian Soviet Federative Socialist Republic;Russia;Moscow,The Mexican,,Proletkult;Set Design;Director,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 33,,,,,internal_performance_mexican
Cinema,1921-05-18,,,First public performance of 'The Mexican',First public performance of 'The Mexican' at the Proletkult Central Arena.,Cinema and Theatre,,Proletkult Central Arena;Proletkult;The Mexican,,Russian Soviet Federative Socialist Republic;Russia;Moscow; Proletkult Central Arena,The Mexican,,Proletkult;Set Design;Director;Premiere,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 33,,,,,public_performance_mexican
Biography,1921-09-13,,,Registers for the entrance exams at the GVYTM,"Sergei Eisenstein registers for the entrance exams at the GVYTM (State Higher Theatre Workshops) under the direction of Vsevolod Meyerhold. There he meets Sergei Iutkevich for the first time. Both are given the task of developing a scenic solution to the topic 'Sechs verfolgen einen' and pantomime the shooting with an imaginary bow. Under Meyerhold's influence, Sergei Eisenstein receives further impetus for his conception of an acrobatic, non-naturalistic theatre with political objectives. Sergei Eisenstein worshipped Meyerhold until his death, speaks of him with the greatest admiration and calls him his ""second father"".",Biography and Personality;Cinema and Theatre,,State Higher Theatre Workshops;Meyerhold;Sergei Iutkevich;Pantomime ,Vsevolod Meyerhold;Sergei Iutkevich,Russian Soviet Federative Socialist Republic;Russia;Moscow;GVYRM (State Higher Directors' Workshops),,Pantomime;Acrobatics;non-naturalistic;political,GVYRM (State Higher Directors' Workshops),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 33 f.,,,,,exam_gvytm
Biography,1921-09-15,,,Admission to the GVYTM.,Admission to the GVYTM.,Biography and Personality;Cinema and Theatre,,Ivan A. Aksenov;State Higher Theatre Workshops,,Russian Soviet Federative Socialist Republic;Russia;Moscow;GVYRM (State Higher Directors' Workshops),,,GVYRM (State Higher Directors' Workshops),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34,,,,,admission_gvytm
Biography,1921-09-15,,,Beginning friendship with Ivan Aksenov.,"Sergei Eisenstein becomes friends with his teacher at GVYTM, Ivan A. Aksenov.",Biography and Personality;Cinema and Theatre,,,Ivan Aksenov,Russian Soviet Federative Socialist Republic;Russia;Moscow;GVYRM (State Higher Directors' Workshops),,,GVYRM (State Higher Directors' Workshops),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34,,,,,
Cinema,1921-10-00,,,Works for the First Workers' Theatre of the Proletkult on the set design of Valerian Pletnev's 'Lena',"Together with stage designer Leonid Nikitin, Sergei Eisenstein works on the design of Valerian Pletnev's 'Lena' for the First Workers' Theatre of the Proletkult , which he later attributes to the representational-narrative theatre that was to be rejected.",Cinema and Theatre;Graphic Art,Proletkult,Set Design;First Workers' Theatre of the Proletkult;Valerian Pletnev;Lena ,Leonid Nikitin;Valerian Pletnev,Russian Soviet Federative Socialist Republic;Russia;Moscow;First Workers' Theatre of the Proletkult,Lena;The Montage of Attractions,Representational-narrative,Proletkult;Set Design ,October 1921,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34,October 1921,,,,desgins_lena
Cinema,1921-10-00,1921-10-00,,Entry to MASTFOR.,"Together with Sergei Iutkevich entry to the Foregger Workshop (MASTFOR). With Nikolai M. Foregger, one of his teachers for Theatre History at the GVYTM, he is united through a common interest in the Comedia dell'Arte; the Foregger Workshop itself becomes a training center for Sergei Eisenstein for the application and mastery of technical tricks.",Cinema and Theatre,,Iutkevich;Foregger Workshop;Nikolai M. Foregger,Sergei Iutkevich;Nikolai Foregger,Russian Soviet Federative Socialist Republic;Russia;Moscow;GVYRM (State Higher Directors' Workshops),,Commedia dell'Arte;Attractions,GVYRM (State Higher Directors' Workshops);MASTFOR (Foregger Workshop),October 1921,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34,October 1921,,,,entry_mastfor
Cinema,1922-00-00,1921-10-00,,First production of Sergei Eisenstein and Iutkevich for the MASTFOR.,"The first production of Sergei Eisenstein and Sergei Iutkevich for Nikolai Foregger and the MASTFOR is 'The Phenomenal Tragedy of Phetra', a parody by Vladimir Mass on Aleksandr Tairov's chamber theatre production of 'Phèdre' (1677) by Jean Racine.",Cinema and Theatre,,Vladimir Mass;Foregger Workshop;Phèdre;Racine,Vladimir Mass;Jean Racine;Sergei Iutkevich;Aleksandr Tairov;Nikolai Foregger,Russian Soviet Federative Socialist Republic;Russia;Moscow,The Phenomenal Tragedy of Phetra,,Costume Design;MASTFOR (Foregger Workshop),After February 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34; additional information by Naum Kleiman,After February 1922,,,,mastfor_first_production
Cinema,1921-10-00,1922-00-00,,Works on the production of Vladimir Mass' 'An Improved Relation with Horses',"Together with Nikolai Foregger, Vladimir Z. Mass and Sergei Iutkevich, Sergei Eisenstein works on the production of Mass' 'An Improved Relation with Horses' for MASTFOR. Some unconventional attractions are planned.",Cinema and Theatre,,Foregger;Vladimir Z. Mass;Iutkevich;An improved relationship with horses;Foregger Workshop,Nikolai Foregger;Vladimir Mass;Sergei Iutkevich,Russian Soviet Federative Socialist Republic;Russia;Moscow,An Improved Relation with Horses,Attractions,MASTFOR (Foregger Workshop);Costume Design;Set Design,October 1921,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34,October 1921,,,,mastfor_horses
Cinema,1921-10-11,1921-10-00,,Opening performance of the Moscow First Workers' Theatre of the Proletkult with the world premiere of Pletnev's 'Lena'.,Opening performance of the Moscow First Workers' Theatre of the Proletkult with the world premiere of Valerian Pletnev's 'Lena'.,Cinema and Theatre,Proletkult,First Workers' Theatre of the Proletkult;Valerian Pletnev;Lena ,Leonid Nikitin;Valerian Pletnev,Russian Soviet Federative Socialist Republic;Russia;Moscow;First Workers' Theatre of the Proletkult,Lena,,Proletkult;Premiere,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34,,,,,premiere_lena
Cinema,1921-11-00,,1922-04-00,Sergei Eisenstein and Sergei Iutkevich decorate 'Macbeth'.,"For the TEO, Sergei Eisenstein and Sergei Iutkevich decorate the tragedy 'Macbeth' by William Shakespeare, directed by Valentin Tichonovich, which was initially presented under the working title 'Lady Macbeth'.",Cinema and Theatre;Graphic Art,,TEO;Iutkevich;Shakespeare;V. Tichonovich;Lady Macbeth,Valentin Tichonovich;Sergei Iutkevich;William Shakespeare,,Macbeth,,Set Design,November 1921 to April 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 34 f.,November 1921 to April 1922,,,,designs_macbeth
Cinema,1921-11-25,1922-04-00,1923-04-00,Begins working on his first independent production 'Enough Simplicity in Every Wise Man',"Sergei Eisenstein works on his first independent production, the ""Agitbuffonade in Five Acts“ 'Enough Simplicity in Every Wise Man' adapted by Sergei Tretiakov and A. G. Archangel’skij after a comedy by Aleksandr N. Ostrovski for the Moscow First Workers' Theatre of the Proletkult.",Cinema and Theatre,Proletkult,Agitbuffonade in Five Acts;Enough Stupidity in Every Wise Man;Sergei Tretiakov;A. G. Archangel’skij;First Workers' Theatre of the Proletkult;Comedy,,,,,,25 November 1921 to April 1923,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 35,25 November 1921 to April 1923,,,,production_beginning_wise_man
Cinema,1921-12-22,1923-04-00,,Is commissioned to stage 'Puss in Boots' by GVYTM and Vsevolod Meyerhold.,The GVYTM commissions Sergei Eisenstein to direct Ludwig Tieck's 'Puss in Boots'. Vsevolod Meyerhold explains his ideas for the staging to him.,Cinema and Theatre,,Meyerhold;Ludwig Tieck;Puss in Boots;State Higher Theatre Workshops,Ludwig Tieck;Vsevolod Meyerhold,,Puss in Boots,,GVYRM (State Higher Directors' Workshops);Director,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 35,,,,,commission_puss_boots
Cinema,1921-12-24,,,Hands Vsevolod Meyerhold a scene sketch for the 'Puss in Boots' in the library of the GVYTM.,Sergei Eisenstein hands Vsevolod Meyerhold a scene sketch for the 'Puss in Boots' in the library of the GVYTM.,Cinema and Theatre;Graphic Art,,State Higher Theatre Workshops;Meyerhold;Puss in Boots,Ludwig Tieck;Vsevolod Meyerhold,Russian Soviet Federative Socialist Republic;Russia;Moscow;GVYRM (State Higher Directors' Workshops),Puss in Boots,,GVYRM (State Higher Directors' Workshops);Director;Set Design,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 35,,,,,sketch_puss_boots
Cinema,1921-12-29,,1922-01-13,Sketches three more variants of the already established scene for the 'Puss in Boots'.,Sergei Eisenstein sketches three more variants of the already established scene for the 'Puss in Boots'.,Cinema and Theatre;Graphic Art,,Puss in Boots,Ludwig Tieck;Vsevolod Meyerhold,,Puss in Boots,,GVYRM (State Higher Directors' Workshops);Director;Set Design,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 35,,,,,variants_sketches_puss_boots
Cinema,1921-12-30,1922-01-13,1922-00-00,Designs costumes for 'Theft'.,Sergei Eisenstein designs costumes for the scenic installation 'Theft' after Jack London.,Cinema and Theatre;Graphic Art,,Theft;Jack London,Jack London,,Theft,,Costume Design,30 December 1921 to 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 35 f.,30 December 1921 to 1922,,,,theft_jack_london
Cinema,1921-12-30,1922-00-00,,Vsevolod Meyerhold visits the performance of the 'The Mexican' with the GVYTM class .,Vsevolod Meyerhold visits the performance of the 'The Mexican' with the GVYTM class.,Cinema and Theatre,,State Higher Theatre Workshops;The Mexican;Meyerhold,Vsevolod Meyerhold,Russian Soviet Federative Socialist Republic;Russia;Moscow; Proletkult Central Arena,The Mexican,,GVYRM (State Higher Directors' Workshops),Before 31 December 1921,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 36,Before 31 December 1921,,,,meyerhold_mexican
Cinema,1921-12-31,1921-12-30,1922-01-23,"World premiere of Vladimir Mass, 'An Improved Relation with Horses, in the MASTFOR.","World premiere of Vladimir Mass, 'An Improved Relation with Horses', in the MASTFOR.",Cinema and Theatre,,An improved relationship to horses;Foregger Workshop,Nikolai Foregger;Vladimir Mass;Sergei Iutkevich,Russian Soviet Federative Socialist Republic;Russia;Moscow;MASTFOR (Foregger Workshop),An Improved Relation with Horses,,GVYRM (State Higher Directors' Workshops);MASTFOR (Foregger Workshop),31 December 1921;5 January 1922 or 23 January 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 36,31 December 1921;5 January 1922 or 23 January 1922,,,,world_premiere_horses
Cinema,1921-00-00,,1922-00-00,Works on several more pieces in 1921 and 1922.,"Sergei Eisenstein is working on a piece of an unidentified author, 'Honest Harlequin'. In 1921/22, as a study for the GVYTM, he works on the creation of a scenic montage, 'The Count of Monte Cristo', based on the novel by Alexandre Dumas père, which is commissioned by Valeri M. Bebutov. In 1921 or 1922, he also produces sketches and drafts for a dramatization of the E.T.A. Hoffmann novella 'Master Martin, the Cooper, and His Journeyman'.",Cinema and Theatre;Graphic Art,,The Honorable Harlequin;Foregger Workshop;The Count of Monte Cristo;Alexandre Dumas père;Valeri M. Bebutov;E.T.A. Hoffmann;Master Martin;the Cooper;His Journeyman;State Higher Theatre Workshops,Alexandre Dumas père;Valeri Bebutov;E. T. A. Hoffmann ,,Honest Harlequin;The Count of Monte Cristo;Master Martin٫ the Cooper٫ and His Journeyman,,GVYRM (State Higher Directors' Workshops);Director;Set Design,Between 1921 and 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 36,Between 1921 and 1922,,,,theatre_works_1921_22
Cinema,1922-00-00,1922-00-00,,Writes his first essay on film theory.,"With Sergei Iutkevich, Sergei Eisenstein writes his first essay on Film Theory: 'The eighth art. About Expressionism, America and, of course, Charlie Chaplin'. In this essay, Sergei Eisenstein examines the anti-illusionist tendencies of European and American film production and lists as examples almost everything that shows the approach to eccentricity: 'The Cabinet of Dr. Caligari', Charlie Chaplin, the abstract film and the American detective and adventure film.",Cinema and Theatre;Writing and Teaching,,Iutkevich;The eighth art. About Expressionism;America;Charlie Chaplin,Sergei Iutkevich,,The eighth art. About Expressionism٫ America and٫ of course٫ Charlie Chaplin,,,1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 36,1922,,,,first_film_theory
Cinema,1922-01-26,1922-00-00,,Set designs for the MASTFOR production 'Melodramatic Sketch' by Vladimir Mass.,Set designs for the MASTFOR production 'Melodramatic Sketch' by Vladimir Mass.,Cinema and Theatre;Graphic Art,,Melodramatic Sketch;Foregger Workshop,Vladimir Mass,,Melodramatic Sketch,,MASTFOR (Foregger Workshop);GVYRM (State Higher Directors' Workshops);Set Design,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 36,,,,,mastfor_melodramatic
Biography,1922-01-00,,,Letter exchange between Sergei Eisenstein in Moscow and Sergei Iutkevich in Petrograd.,"With Sergei Iutkevich, who stays in Petrograd, Sergei Eisenstein conducts an exchange of letters about the cultural events in the two cities. They sign with the pseudonym ""Pipifax"" borrowed from the clown name. Eisenstein is ""Pipi"", Iutkevich is ""Fax"".",Biography and Personality,,Iutkevich;Pseudonym;Pipifax,Sergei Iutkevich,Russian Soviet Federative Socialist Republic;Russia;Moscow;St. Petersburg,,,,January 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,January 1922,,,,pipifax
Cinema,1922-01-00,1922-01-00,,"Set designs for 'guitar and Schrammel, or The revenge of the anarchist'; the author has not been identified.","Set designs for 'Gitarre und Schrammel, oder DieRache des Anarchisten'; the author has not been identified.",Cinema and Theatre;Graphic Art,,Guitar and Schrammel;The revenge of the anarchist,,,,,,January 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,January 1922,,,,decoration_anarchist
Cinema,1922-01-00,1922-01-00,1922-06-00,Designs for 'Heartbreak House'.,"Set and costume designs for the ""wrathful comedy"" 'Heartbreak House' by George Bernard Shaw, inspired by Anton Chekhov; the director is Vsevolod Meyerhold in the Moscow Theatre of Actor.",Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Heartbreak House by Shaw;Anton Chekhov;Meyerhold;Moscow Theatre of Actor;Comedy,George Bernard Shaw;Anton Chekhov;Vsevolod Meyerhold,Russian Soviet Federative Socialist Republic;Russia;Moscow;Moscow Theatre of Actor,Heartbreak House,,Moscow Theatre of Actor;Costume Design;Set Design,January 1922 to June 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,January 1922 to June 1922,,,,heartbreak_house
Cinema,1922-00-00,1922-06-00,,Designs for 'The Kidnapper' for MASTFOR.,Eistenstein works on costume and figure designs for the drama 'The Kidnapper' based on 'The Two Orphans' by Adolphe d'Ennery; the three-act play was performed in three parts at MASTFOR on three evenings in a row; each performance lasted 2 1/2 hours.,Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Die Kinderdiebin;Adolphe d'Ennery;Foregger Workshop,Adolphe d'Ennery;Nikolai Foregger,Russian Soviet Federative Socialist Republic;Russia;Moscow;MASTFOR (Foregger Workshop),The Kidnapper,,MASTFOR (Foregger Workshop);GVYRM (State Higher Directors' Workshops);Set Design;Costume Design,Beginning of 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,Beginning of 1922,,,,mastfor_Ennery
Cinema,1922-02-10,1922-00-00,,Designs for 'Masks'.,"Set design for a composition by Claude Debussy, 'Masks'.",Cinema and Theatre;Graphic Art,,Claude Debussy;Masques;Set Design,Claude Debussy,,Masks,,Set Design,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,,,,,designs_debussy_masques
Cinema,1922-04-25,,,Develops the scenario of a script for the Moscow travelling circus.,Sergei Eisenstein develops the scenario of a script for the Moscow travelling circus.,Cinema and Theatre,,Moscow travelling circus,,Russian Soviet Federative Socialist Republic;Russia;Moscow,,Circus,Script,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,,,,,travelling_circus
Cinema,1922-04-25,,,Premiere of 'Macbeth' in the TEO.,Premiere of 'Macbeth' in the TEO. The performanceis not a success and is cancelled after only one week.,Cinema and Theatre,,Macbeth;TEO,Valentin Tichonovich;Sergei Iutkevich;William Shakespeare,Russian Soviet Federative Socialist Republic;Russia;Moscow;TEO (Theatre Department of the People's Commissariat of Education),Macbeth,,TEO (Theatre Department of the People's Commissariat of Education);Premiere,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,,,,,premiere_macbeth
Cinema,1922-00-00,,1922-04-25,Participation in the rehearsals and the premiere of 'Le Cocu magnifique'.,Participation in the rehearsals and the premiere of Fernand Crommelynck's jealousy farce 'Le Cocu magnifique' in Vsevolod Meyerhold's production at the GVYTM.,Cinema and Theatre,,F. Crommelynck;Le Cocu magnifique;Meyerhold;State Higher Theatre Workshops,Fernand Crommelynck;Vsevolod Meyerhold,Russian Soviet Federative Socialist Republic;Russia;Moscow;GVYRM (State Higher Directors' Workshops),Le Cocu magnifique,,GVYRM (State Higher Directors' Workshops),Until 25 April 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37,Until 25 April 1922,,,,cocu_magnifique
Biography,1922-04-26,1922-04-25,,"Makes acquaintance of Grigori Kozintsev and Leonid Trauberg, the founders of FEKS, in Petrograd.","Sergei Eisenstein goes to Petrograd with Sergei Iutkevich and there makes the acquaintance of Grigori Kozintsev and Leonid Trauberg, the founders of FEKS (Factory of the Eccentric Actor, an actors' collective founded by Kozintsev and Trauberg in Petrograd on December 9,1921, which published an artistic manifesto entitled 'Eccentrism'.), with whom he is connected by the conception of eccentric forms of expression.",Biography and Personality;Cinema and Theatre,,Iutkevich;Grigori Kozintsev;Leonid Trauberg;Factory of the Eccentric Actor;Eccentrism,Sergei Iutkevich;Grigori Kozintsev;Leonid Trauberg,Russian Soviet Federative Socialist Republic;Russia;St. Petersburg,,Eccentrism,FEKS (Factory of the Eccentric Actor),After 25 April 1922,"Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37; Bulgakowa;Oksana (1993): 'Das Phänomen FEKS: Boulevardisierung der Avantgarde';in: 'Montage / AV' 2,1;p. 94-115",After 25 April 1922,,,,meeting_FEKS
Cinema,1922-05-01,1922-05-01,,Adapts the pantomime 'The Veil of Pierrette' under the title 'The Veil of Columbina' together with Iutkevich.,"Together with Sergei Iutkevich, Sergei Eisenstein adapts the pantomime 'The Veil of Pierrette' by Ernst von Dohnányi, set to music based on motifs from Arthur Schnitzler's play 'The Veil of Beatrice', and produced by Vsevolod Meyerhold in 1910 under the pseudonym Dr. Dapertutto and in 1916 under the title 'The Scarf of Columbine' in St. Petersburg. Eisenstein and Iutkevich give the new edition for MASTFOR the title 'The Veil of Columbina' and dedicate the adaptation, understood as a parody of Aleksandr Tairov's production of 'The Veil of Pierrette' (1913), to ""Vsevolod Meyerhold, master of the scarf - the sub-masters of the garter"".",Cinema and Theatre,,"Iutkevich;Pantomime;The Veil of Pierrette;Ernst von Dohnányi;The Veil of Beatrice;Meyerhold;Pseudonym;Dr. Dapertutto;The Sash of the Colombine;Iutkevich,The Bridal Veil of Columbina;Foregger Workshop;The Veil of Pierrette",Sergei Iutkevich;Ernst von Dohnányi;Arthur Schnitzler;Vsevolod Meyerhold;Aleksandr Tairov,,The Veil of Columbina;The Columbian Girl’s Garter,,MASTFOR (Foregger Workshop);GVYRM (State Higher Directors' Workshops);Script;Set Design;Director,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 37 f.,,,,,adaption_veil_pierrette
Cinema,1922-00-00,,,"Reworking 'The Veil of Columbina' in summer, but meeting Nikolai Foregger's resistance.","Sergei Eisenstein and Sergei Iutkevich rework the set design of 'The Veil of Columbina' another time, now under the title 'The Columbian Girl’s Garter'. Thescenario, which takes two months to develop, not only contains detailed stage directions, but also describes the movements of the actors, the lighting and the tricks in great detail. The production of the piece fails due to Nikolai Foregger's resistance.",Cinema and Theatre,,The Veil of Pierrette;The Garter of Columbina;Iutkevich,Sergei Iutkevich;Ernst von Dohnányi;Arthur Schnitzler;Vsevolod Meyerhold;Aleksandr Tairov,,The Veil of Columbina;The Columbian Girl’s Garter,,MASTFOR (Foregger Workshop);GVYRM (State Higher Directors' Workshops);Script;Set Design;Director,Summer 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 38,Summer 1922,,,,reworking_veil_pierrette
Cinema,1922-06-00,1922-00-00,,Sergei Eisenstein is appointed deputy director of the TEO.,Sergei Eisenstein is appointed deputy director of the TEO.,Cinema and Theatre;Writing and Teaching,,TEO,,,,,TEO (Theatre Department of the People's Commissariat of Education);Lecture,June 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 38,June 1922,,,,deputy_director_TEO
Cinema,1922-07-00,1922-06-00,,Sergei Eisenstein is appointed director of the TEO.,Sergei Eisenstein is appointed director of the TEO.,Cinema and Theatre;Writing and Teaching,,TEO,,,,,TEO (Theatre Department of the People's Commissariat of Education);Lecture,July 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 38,July 1922,,,,director_TEO
Cinema,1922-00-00,1922-07-00,,Assistant director to Vsevolod Meyerhold on 'The Death of Tarelkin' and preparing 'Heartbreak House' at the same time.,"Sergei Eisenstein takes over as assistant director at the Meyerhold staging of Aleksandr V. Suchovo-Kobylin's stage play 'The Death of Tarelkin' (1869) for Vsevolod Meyerhold's GVYRM; in parallel, final work as set designer and the over nine months of rehearsals for George Bernard Shaw's 'Heartbreak House' (1919), which is never performed.",Cinema and Theatre;Graphic Art,,Meyerhold;Aleksandr V. Suchovo-Kobylin;The Death of Tarelkin;Heartbreak House,Aleksandr Suchovo-Kobylin;Vsevolod Meyerhold;George Bernard Shaw,,The Death of Tarelkin;Heartbreak House,,Moscow Theatre of Actor;Costume Design;Set Design;GVYRM (State Higher Directors' Workshops);Director;Rehearsal,Autumn 1922,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 38,Autumn 1922,,,,autumn_1922_theatre
Cinema,1922-09-25,1922-00-00,,"Sees first FEKS theatre performance, which uses film inserts.","At the Petrograd Proletkult Theatre Sergei Eisenstein sees the first production of FEKS, 'Marriage' by Gogol, in which a film fragment 'Charlie and the cocotte Batsy' is inserted.",Cinema and Theatre,Proletkult,Proletkult;the Marriage of Gogol,,Russian Soviet Federative Socialist Republic;Russia;St. Petersburg;Petrograd Proletkult Theatre,,,FEKS (Factory of the Eccentric Actor),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 39,,,,,FEKS_first_performance
