type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Cinema,205,1925-08-00,,1925,Sergei Tretjakov follows the recordings for The year 1905,Sergei Tretjakov follows the recordings for The year 1905 in Odessa as deputy director of the artistic council of the First Goskino Studio.,Cinema and Theatre,,Sergei Tret'jakov;The Year 1905;First Goskino Studio,,1,20
Cinema,206,1925-09-01,,1925,Shooting for Potemkin: The stairs,Shooting for Potemkin: The stairs,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin,,1,20
Cinema,207,1925-09-13,,1925,Aleksandrov telegrams from Moscow that  Eduard Tissé is ready to take over the camera work,Aleksandrov telegrams from Moscow that Tissé is ready to take over the camera work. At first A. A. Levickij had worked as a cameraman.,Cinema and Theatre,,Grigori Aleksandrov;A. A. Levickij;Eduard Tissé;Telegram,,1,20
Cinema,208,1925-09-00,,1925,Arrival of Eduard Tissé in Odessa.,Arrival of Tissé in Odessa.,Cinema and Theatre,,Eduard Tissé,,1,20
Cinema,209,1925-10-00,,1925,The film team arrives in Sevastopol.,"The film team arrives in Sevastopol. On the warships 12 Apostles and Comintern the scenes with the rotten meat and - on the last day of shooting - the tumult on deck of the Potemkin are filmed. In this sequence Eisenstein doubles the actor of the Pope, which led to the rumor that Eisenstein played the Pope himself.",Cinema and Theatre,Battleship Potemkin,12 Apostles;Comintern;Battleship Potemkin,,1,20
Cinema,210,1925-10-26,,1925,Strike is awarded the gold medal at the Decorative Arts Exhibition,Strike is awarded the gold medal at the Decorative Arts Exhibition after the first public screening in the West in Paris.,Cinema and Theatre,Strike,Strike;Decorative Arts Exhibition,,1,20
Cinema,211,1925-11-23,,1925,"Eisenstein, Štrauch and A. Lëvšin return to Moscow for studio recordings and the assembly of the Battleship Potemkin.","Eisenstein, Štrauch and A. Lëvšin return to Moscow for studio recordings and the assembly of the Battleship Potemkin; on the same day Eisenstein himself. looks at 4500 meters of footage. Eisenstein expands the principle of montage of attractions by ""dissecting elements of the bourgeois art he rejects - i.e. all elements aimed at illusion and consumption of art - and then assembling them in a objective manner and with a new purpose"". With these means of influence of the ""bourgeoisie, which is forced into subbotnic work,"" he accommodates the viewing habits of the Soviet public and thus uses passivating elements of bourgeois art for agitation-""another tactical maneuver in the attack on the spectator, which is ridden under the slogan of Red October.",Cinema and Theatre,Battleship Potemkin,montage of attractions;Battleship Potemkin;Štrauch;A. Lëvšin,,1,20
Cinema,212,1925-12-24,,1925,First public performance of the Battleship Potemkin in the Bolšoj Theater.,First public performance of the Battleship Potemkin in the Bolšoj Theater on the occasion of the celebration of the 20th anniversary of the 1905 Revolution.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;1905 Revolution,,1,20
Cinema,213,1925-12-25,,1925,The commission for the celebration of the 20th anniversary of the first Russian Revolution accepts the Battleship Potemkin.,The commission for the celebration of the 20th anniversary of the first Russian Revolution accepts the Battleship Potemkin.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;1905 Revolution,,1,20
Cinema,214,1926-01-00,,1926, With Tretijakov plans a film about the Chinese revolutionary movement under the title Dshungo.,Eisenstein and Tretijakov plan a film about the Chinese revolutionary movement under the title Dshungo. They apply for a film expedition to China.,Cinema and Theatre,Dshungo,Dshungo;Chinese revolutionary movement,1,1,20
Cinema,215,1926-01-18,,1926,Public premiere of the Battleship Potemkin at the Art Film Theater on Moscows Arbat Square.,"Public premiere of the Battleship Potemkin at the Art Film Theater on Moscows Arbat Square. The film is released by the First Goskino Studio. At the premiere the recording team, all actors, the cinema orchestra and ushers appear in the uniform of the Potemkin sailors.",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Art Film Theater;First Goskino Studio,,1,20
Cinema,216,1926-01-21,,1926,First performance of the Battleship Potemkin in Germany at the Großes Schauspielhaus in Berlin under the title The year 1905.,First performance of the Battleship Potemkin in Germany at the Großes Schauspielhaus in Berlin under the title The year 1905.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Großes Schauspielhaus;The Year 1905,,1,20
Biography,217,1926-03-18,,1926,Travels with Eduard Tissé to Berlin.,"Eisenstein travels with Tissé to Berlin. They stay at the Hotel Hessler. In Tempelhof he makes the acquaintance of Emil Jannings during the shooting of Murnaus Faust; probably also an encounter with Friedrich Wilhelm Murnau. While visiting the studios in Staaken he sees Albertini, Harry Liedke and Manfred Noa among others during the shooting. With Fritz Lang, Günther Rittau and Karl Freund he discusses the advantages and disadvantages of the unleashed camera during the production of Metropolis",Biography and Personality,Metropolis,Eduard Tissé;Emil Jannings;Faust;Friedrich Wilhelm Murnau;Albertini;Harry Liedke;Manfred Noa;Fritz Lang;Günther Rittau;Karl Freund;Metropolis,,20,20
Cinema,218,1926-03-17,,1926,a closed special screening of Battleship Potempkin is arranged at the Ministry of the Reichswehr.,"Alarmed by the intention of the Berlin film distributor Prometheus to launch Battleship Potemkin in Germany, a closed special screening is arranged at the Ministry of the Reichswehr in the presence of Admiral Zenker and Colonel General Seekt.",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Admiral Zenker;Colonel General Seekt,,1,20
Cinema,219,1926-03-24,,1926,First censorship hearing on the Battleship Potemkin before the 2nd chamber of the Film Review Office Berlin.,"First censorship hearing on the Battleship Potemkin before the 2nd chamber of the Film Review Office Berlin. The film is banned because it is ""suitable for permanently endangering public order and security"". ",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Filmprüfstelle Berlin,,1,20
Cinema,220,1926-03-26,,1926,Meets Alfred Kerr,"Eisenstein meets Alfred Kerr, on whose intercession Eisenstein attributes the later release of Battleship Potemkin by the Film Review Office.",Cinema and Theatre,,,,1,20
Cinema,221,1926-04-10,,1926,Revision negotiations in front of the Supervisory Headquarters of the Film Review Office Berlin in the presence of Kerr and Erwin Piscator as experts.,"Revision negotiations in front of the Supervisory Headquarters of the Film Review Office Berlin in the presence of Kerr and Erwin Piscator as experts. With 14 cutting requirements - that was 30.15 meters - the film is released. The Potemkin is forbidden for young people. The Chief of Army Command, General Oberst Seekt, asked the Reich Minister of the Interior, Dr. Külz, ""to prevent the performance by all possible means [...]"", since the admission of ""this agitational and disintegrative strip would mean an extraordinarily heavy and unnecessary burden on military discipline such as public peace and order"".",Cinema and Theatre,Battleship Potemkin,Main Filmtestcentre Berlin;General Oberst Seekt;Dr. Külz;Battleship Potemkin,,1,20
Cinema,222,1926-04-15,,1926,The army command prohibits the soldiers of the Reichswehr from visiting the cinemas showing the Potemkin.,The army command prohibits the soldiers of the Reichswehr from visiting the cinemas showing Battleship Potemkin.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin,,1,20
Biography,223,1926-04-18,,1926,Returns to Moscow with Eduard Tissé,Eisenstein and Tissé return to Moscow.,Biography and Personality,,Eduard Tissé;Battleship Potemkin,,20,20
Cinema,224,1926-04-29,,1926,"Prussian Prime Minister Braun, Berlin Police Commissioner Grzesinski, Minister of Culture Becker, Ober Reichsanwalt Ebermeyer and ""some gentlemen from the Reich Chancellery with their entourage"" visit the Apollo Theater in the afternoon and approve the German premiere in the evening.","Prussian Prime Minister Braun, Berlin Police Commissioner Grzesinski, Minister of Culture Becker, Ober Reichsanwalt Ebermeyer and ""some gentlemen from the Reich Chancellery with their entourage"" visit the Apollo Theater in the afternoon and approve the German premiere in the evening. The subsequent reactions are polarized between positive and enthusiastic responses in left-wing outlets and right-wing press being appalled and disgusted. Shortly after the premiere, Gustav Stresemann and the Reich Cabinet agree that ""all possible means must be taken to prevent the film from being shown again"". In return, a ""Committee to Prevent the Prohibition of the Potemkin"" is formed in Berlin, whose protest is joined by Albert Einstein, Georg Bernhard, Ludwig von Gerlach, Veit Va lentin, Captain Persius, Stefan Großmann, Leopold Jessner, Paul Lobe, Georg Kaiser, Alfred Kerr, Klabund, Max Liebermann, Erwin Piscator, Ernst Toller and Heinrich Zille, among others.",Cinema and Theatre,,,,1,20
Cinema,225,1926-07-12,,1926,Battleship Potemkin is banned,"Against the protest of this committee and the left bourgeois press, Battleship Potemkin is banned on 12 July. However, the reactionary forces cant rejoice for long; Prometheus reworks the film and resubmits it to the Film Review Office at the end of July. In this very controversial version it is released again. A new hearing before the Film Review Office confirms this decision with the restriction that the visit is forbidden for young people. Despite temporary bans in Württemberg and Bavaria, Battleship Potemkin has thus prevailed in the censorship. ",Cinema and Theatre,,,,1,20
Biography,226,1926-05-10,,1926,Reports on his stay in Germany in the ARK,Eisenstein reports on his stay in Germany in the ARK (Association of Revolutionary Filmmakers).,Biography and Personality,,Association of Revolutionary Filmmakers,,20,20
Cinema,227,1926-06-03,,1926,Working on a film about the socialist transformation of the village according to the decisions of the XIV Party Congress.,"Near Moscow, Eisenstein is working on a film about the socialist transformation of the village according to the decisions of the XIV Party Congress. According to the initial conception, the film is supposed to ""tie the bond between town and village more closely - one of the future tasks of the Bolshevism"". Before the first recordings for the film project The old and the new (The General Line) Eisenstein studies archives of the Commissariat of Agriculture, complaints from farmers and attends meetings of the Peasant Council according to the method suggested by Agadžanova-Šutko . In July there are only eight days of shooting due to poor shooting conditions.",Cinema and Theatre,General Line,Agadžanova-Šutko;Commissariat of Agriculture;Peasant Council;General Line,,1,20
Writings,228,1926-06-07,,1926,"In the ""Berliner Tageblatt"", appears Eisensteins article ""Sergej Eisenstein"", written especially for the German reader","In the ""Berliner Tageblatt"", whose feature editor is Kerr, appears E.s article ""Sergej Eisenstein"", written especially for the German reader about Sergej Eisenstein, the ""Potemkin"" director: ""As far as my attitude towards film is concerned, I have to admit that I understand ""film"" to be a tendency and nothing but tendency. In my opinion, you cant start working without the clarity about the purpose of a film.",Writing and Teaching;Cinema and Theatre,,,,,20
Writings,229,1926-06-22,,1926,Writes the article Bela forgets the scissors.,"Eisenstein writes the article Bela forgets the scissors, a replica of Béla Balász lecture Film tradition and film future held at the German Cinematographers Club. Against Balász view of the ""pictoriality of a shot as the decisive element"", Eisenstein emphasizes that ""a shot [...] interprets the object only in terms of its usability in a combination with other sequence parts"".",Writing and Teaching,,Bela forgets the scissors;Béla Balász;Film tradition and film future,,,20
Cinema,230,1926-06-22,,1926,Works on the script for the General Line.,Eisenstein works on the script for the General Line.,Cinema and Theatre,General Line,General Line,,1,20
Cinema,231,1926-07-07,,1926,The film section of TEO accepts the literary script of the General Line.,"The film section of TEO accepts the literary script of the General Line. His concept of showing the epic pathos of country life after the revolutionary pathos of the ""Potemkin"" fails, however, ""because of the grids of the paragraph demands of former dramaturgical departments and the former main committee for film repertoire [...] And the good intentions to shape the pathos of socialism, which had descended blessingly on the flat land, withered away on the stalk - to use an agriculturalpoetic expression!""",Cinema and Theatre,,,,1,20
Biography,232,1926-07-21,,1926,Meets with Douglas Fairbanks and Mary Pickford in Moscow.,"Eisensteins meeting with Douglas Fairbanks and the ""sweetbourgeois poison"" Mary Pickford in Moscow.",Biography and Personality,,Douglas Fairbanks;sweetbourgeois poison;Mary Pickford,,20,20
Cinema,233,1926-08-15,,1926,Films in the Gloslemchos Konstantinovo agricultural model buildings.,Eisenstein films in the Gloslemchos Konstantinovo agricultural model buildings and the scenes of the disease and death of the bull for the General Line.,Cinema and Theatre,General Line,Gloslemchos Konstantinovo;General Line,,1,20
Cinema,234,1926-09-14,,1926,,"The Film Commission formed to mark the tenth anniversary of the October Revolution of 1917 states that ""it is imperative that a central feature film> on the theme of Ten Days that Shook the World (director Eisenstein) be released"".",Cinema and theatre,,,,1,20
Cinema,235,1926-09-14,,1926,Starts preparations for the film October.,"Under the title of this novel by John Reed, Eisenstein starts the preparations for the film October; he studies chronologically compiled materials by the historian Alexei V. Efimov.",Cinema and Theatre,October,John Reed;Alexei V. Efimov;October,,1,20
Cinema,236,1926-09-27,,1926,Concludes a contract with Sovkino for the shooting of The General Line,Eisenstein concludes a contract with Sovkino for the shooting of The General Line between 1 October and 1 February 1927,Cinema and Theatre,General Line,Sovkino;General Line,,1,20
Cinema,237,1926-10-01,,1926,Arrives with film team in Rostov-on-Don.,Eisenstein arrives with his film team in Rostov-on-Don for filming for The General Line,Cinema and Theatre,General Line,Rostov-on-Don;General Line,,1,20
Cinema,238,1926-10-05,,1926,,"In a working session in Sovkino, E. declares ""his final agreement for the staging"" of the October.",Cinema and Theatre,,,,1,20
Cinema,239,1926-11-07,,1926,Outlines a seven-part draft for October.,Eisenstein outlines a first seven-part draft for October from the beginnings of the February Revolution to the destruction of the White Army,Cinema and Theatre,October,October;February Revolution;Destruction of the White Army,,1,20
Cinema,240,1926-11-21,,1926,Drives to Baku and Rostov-on-Don for filiming on the General Line.,For filming on the General Line Eisenstein drives to Baku and Rostov-on-Don. During the trip a plan for the first part of October is drawn up.,Cinema and Theatre,General Line,General Line,,1,20
Cinema,241,1926-11-24,,1926,Arrives in Baku with his film team.,Eisenstein arrives in Baku with his film team to film the sequence Tractors Blood (the Oil Industry) for the General Line,Cinema and Theatre,General Line,Tractor's Blood (the Oil Industry);General Line,,1,20
Cinema,242,1926-12-00,,1926,Films in the Mugan steppes.,"Eisenstein films in the Mugan steppes dream of Marfa Lapkina for the General Line. Due to poor weather and lighting conditions, only six days of shooting can be used in the course of one and a half months.",Cinema and Theatre,General Line,General Line;Filming Interruptions,,1,20
Cinema,243,1926-12-31,,1926,With his team crosses the Persian border.,E. and his team cross the Persian border insearch of filming locations. They are arrested for several hours.The work on the General Line is interrupted in favour of thepreparations for the October.,Cinema and Theatre,,,,1,20
Biography,244,1927-01-12,,1927,Recieves an invitation from the Fairbanks Company to go to Hollywood.,Eisenstein receives an invitation from the Fairbanks Company to Hollywood.,Biography and Personality;Cinema and Theatre,,Fairbanks Company,1,20,20
Cinema,245,1927-01-13,,1927,Develops scene sketches and drawings for the film project The Glass House.,"Eisenstein develops scene sketches and drawings for the film project ""The Glass House"", which is to become ""A View of America through Glass"". He is thinking of a collaboration with Upton Sinclair",Cinema and Theatre;Graphic Art,The Glass House,The Glass House;A View of America through Glass;Upton Sinclair;Drawing,,1,20
Cinema,246,1927-01-21,,1927,With Aleksandrov writes a first complete literary script for October.,"Eisenstein and Aleksandrov write a first complete literary script for October in nine parts. In the first four parts the February Revolution, preparation for the October Revolution, storming of the Winter Palace and the Soviet Congress are to be shown. The fifth part contains the events of the October days, parts six to eight provide a description of the civil war in the south, and the ninth part is dedicated to the first years of peaceful reconstruction.",Cinema and Theatre,October,October;Grigori Aleksandrov;February Revolution;October Revolution,,1,20
Cinema,247,1927-02-05,,1927,Literary script is discussed at the Sovkino.,The literary script is discussed at the Sovkino management meeting. Eisenstein is asked to limit himself to the theme of the October events,Cinema and Theatre,October,Sovkin;October,,1,20
Cinema,248,1927-02-18,,1927,With Aleksandrov produces a second screenplay version of October.,"Eisenstein and Aleksandrov produce a second, sixpartscreenplay version, five parts of which are dedicated to theOctober Revolution.",Cinema and Theatre,October,Grigori Aleksandrov;October Revolution,,1,20
Cinema,249,1927-02-25,,1927,German premiere of Strike.,"German premiere of Strike at theTauentzienpalast in Berlin. The sensation of Potemkin,which the German distributor wanted to follow up, was ofcourse not repeatable. The Berlin critics of the premiereinterpreted Strike mainly as a preliminary exercise for thechampionship.",Cinema and Theatre,,,,1,20
Cinema,250,1927-03-00,,1927,Makes notes for a book: My Art in Life.,"Eisenstein makes notes for a book My Art in Life, a parodistic formulation referring to Stanislavskys publication My Life in Art",Cinema and Theatre;Writing and Teaching,,My Art in Life;Stanislavsky;My Life in Art,,1,20
Cinema,251,1927-03-05,,1927,Finishes third and final script of October.,"After further proposals for changes by the Repertoire Main Commission, Eisenstein  and Aleksandrov finish the third, final script version for October, which is accepted shortly afterwards by the commission for the preparation of the anniversary celebrations for the 10th anniversary of the October Revolution. In April, after a discussion with participants of the October Revolution, it will be further specified.",Cinema and Theatre,October,Repertoire Main Commission;Grigori Aleksandrov;October;October Revolution,,1,20
Biography,252,1927-03-11,,1927,Travels to Leningrad with his team.,Eisenstein  travels to Leningrad with his team; he visits the historic sites of the October Revolution and has Esfir Shub show him the documentary footage of Leningrad taken during the war and revolution,Biography and Personality,October,October Revolution;Esfir Shub,,20,20
Biography,253,1927-03-11,,1927,Makes the acquaintance of the film director Friedrich Ermler,"He makes the acquaintance of the film director Friedrich Ermler, with whom he has a long-standing friendship.",Biography and Personality,,Friedrich Ermler,,20,20
Biography,254,1927-03-31,,1927,"Visits the Smolnyi, the Winter Palace and the Peter and Paul Fortress","Eisenstein visits the Smolnyi, the Winter Palace and the Peter and Paul Fortress. ""Led by Podvojskij [head of the Petrograd Military Revolutionary",Biography and Personality,,Paul Fortress;Smol'nyi;the Winter Palace and the Peter;Podvojskij ,,20,20
Cinema,255,1927-04-13,,1927,Filming begins in Leningrad with the fraternisation scene between Soviet and German soldiers,Filming begins in Leningrad with the fraternisation scene between Soviet and German soldiers; Tissé plays the role of a German soldier,Cinema and Theatre,October,Eduard Tissé,,1,20
Cinema,256,1927-04-22,,1927,Writes the directors script for October.,"Eisenstein writes the directors script for October. According to its conception, the film is supposed to point beyond the current occasion by the fact that in every detail of the overall composition the heroic atmosphere of the October Revolution spreads to the audience of all days.Accordingly, the selection of details of the means of action is carried out according to the aspect of greatest expressiveness, but also historical accuracy. The typage search transforms the city into a working department, museums are searched for epaulettes, sashes, spurs and representations of deities ""which - starting with Christ and ending with African symbols - were supposed to symbolize the idea of the Kornilov coup for God, faith and fatherland ... "" In broad daylight, a bridge that is normally only raised at night is raised for filming, mass scenes take  lace with the participation of up to 5,000 participants, in short: ""From this time on, everything unusual and everything out of the ordinary was pushed onto the recording team of the October.",Cinema and Theatre,October,October;October Revolution,,1,20
Cinema,257,1927-05-01,,1927,Demonstration processions to celebrate May 1st filmed with slogans and flags for October ,The tops of the demonstration processions to celebrate May 1st are equipped and filmed with slogans and flags from 1917; in October they take over the role of the mass demonstrations against the Provisional Government together with other groups.,Cinema and Theatre,October,October,,1,20
Biography,258,1927-05-01,,1927,Writes in diary.,"Diary entry: ""Today, actresses were practicing gungrips and shooting in the factory yard [...] What a compilation:manicured fingernail and gun oil. It must be shown in the film!""",Biography and Personality;Writing and Teaching,Journal Entry,Journal Entry,,20,20
Cinema,259,1927-05-16,,1927,"Photographs of the Battleship Aurora, which was built for the October movie enters the Neva estuary","Photographs of the Battleship Aurora, which was built for the October movie enters the Neva estuary for the first time since 1917.",Cinema and Theatre,October,Battleship Aurora;October,,1,20
Cinema,260,1927-05-21,,1927,Shooting at Smolnyi.,"Shooting at Smolnyi, the staff of the revolution.",Cinema and Theatre,October,Smol'nyi,,1,20
Cinema,261,1927-06-13,,1927,Start of shooting for the storming of the WinterPalace.,"Start of shooting for the storming of the WinterPalace. According to a report by Tissé, a luminosityof 20000 amperes is used for the first time with 90 devices. Hewrites about the course of the shooting: » All major stormingscenes were carried out within 10 days. Due to a lack ofelectricity, many scenes had to be combined during theshooting, especially during nightly mass scenes. We usuallyshot outside at night and indoors during the day: in the Smolnyj,in the Volkshaus and in the pavilion of the Sovkino studio. Forthe largest nocturnal mass scenes, we installed the lighting twoto three hours before the start of shooting, so that we could thenset up the equipment in other places according to a precise plan.Once the shooting was finished at one location, we immediatelyrushed to a second, third, etc. In this way we were sometimes36-42, even 52 hours without sleep. But in spite of this tensestate we did not allow ourselves any botch-ups. All the massscenes and all the other central shots were filmed from differentpoints of view with two/three cameras, on which the cameramenPopov and Nilson worked. Under the supervision of GeneralPopov, all the recorded material was periodically brought to thelaboratory in Moscow. For the first time, due to an absolute lackof time, we did not manage to look at the filmed materialourselves before the Leningrad filming was finished. Since wecontinued filming without interruption after our arrival inMoscow, I did not see the material until the last minute.""",Cinema and Theatre,,,,1,20
Cinema,262,1927-06-14,,1927,Filming of the storming of the Winter Palace.,Filming of the storming of the Winter Palace.,Cinema and Theatre,October,Storming of the Winter Palace;October,,1,20
Biography,263,1927-06-21,,1927,A diary entry proves that the film team is beginning to argue with the production management because of the high costs.,"A diary entry proves that the film team is beginning to argue with the production management because of the high costs. In N. I. Podvoijskij Eisenstein  finds an ally in the fight against bureaucratic obstruction. Eisenstein repeatedly and angrily points out ""the worst enemy of any Soviet film - the Soviet film organization apparatus, on the red tape and the bureaucracy to which the brooms of the party conference",Biography and Personality,Journal Entry,Journal Entry,,20,20
Cinema,264,1927-06-24,,1927,Shoots the crushing of the July demonstration at the Sadovaja-Nevskij crossroads,Eisenstein shoots the crushing of the July demonstration at the Sadovaja-Nevskij crossroads according to original newsreels.,Cinema and Theatre,October,Sadovaja-Nevskij,,1,20
Cinema,265,1927-08-20,,1927,Shoots Lenins arrival at the Finnish railway station with the worker Nikandrov in the role of Lenin,Eisenstein shoots Lenins arrival at the Finnish railway station with the worker Nikandrov in the role of Lenin.,Cinema and Theatre,October,Nikandrov;Lenin;Finnish railway station,,1,20
Cinema,266,1927-08-28,,1927,Staged and filmed the episode with Kornilovs Savage Division.,"Staged and filmed the episode with Kornilovs Savage Division, for whose representation Eisenstein  ""mobilized all the shoeshine boys of the city - the Caucasian types. """,Cinema and Theatre,October,Wild Division,,1,20
Cinema,267,1927-09-04,,1927,Returns to Moscow.,"Eisenstein  returns to Moscow; a little later he begins with the montage of 49,000 meters of recorded material and works on the montage principle of intellectual film: two sequence parts (pictograms) that exist independently of each other in their meanings are assigned to each other contrapuntally; from the dynamic collision of the pictograms, a ""decision about what is being portrayed (read: the conclusion from what is portrayed)"", an intellectual concept, emerges in the viewer. A film structured in a complex way according to this principle can finally give rise to a whole system of concepts through the contrapuntal use of emotional, documentary, graphic, colour, in short artistic means of influence.",Cinema and Theatre;Writing and Teaching,Montage Principle of Intellectual Film,Montage Principle of Intellectual Film;Intellectual film;Montage,,1,20
Cinema,268,1927-09-04,,1927,,"Eisenstein tries to realize this principle in two sequences (Kerenskys staircase ascent, sequence of gods). On the door of the assembly room hangs the note: ""Here we are working on October. Think about it before you enter.""  ",Cinema and Theatre,October,Kerensky's staircase ascent;sequence of gods;October,,1,20
Cinema,269,1927-10-09,,1927,Additional recordings are made in Moscow.,Additional recordings are made in Moscow including the destruction of Alexanders monument III,Cinema and Theatre,October,,,1,20
Cinema,270,1927-10-12,,1927,Drafts a plan for a division of the October.,"In order to edit the wealth of the filmed material, Eisenstein drafts a plan for a division of the October: Part 1 should contain the events from the February to the October revolution, part 2 the October revolution. (D50, p. 58) A note during the montage: ""The decision has been made to film The Capital according to the scenario of Karl Marx - this is the only possible formal way out. (Bl2.3, p. 289) Based on the Intellectual Montage Eisenstein plans to make a film about the method of dialectic with The Capital.",Cinema and Theatre,October,October revolution;October;Feburary revolution,,1,20
Writings,271,1927-10-12,,1927,"begins with the collection of ""Intellectual Attractions","He begins with the collection of ""Intellectual Attractions "", designs a subject backbone as a starting point for the formation of chains of associations, which in film essays should dialectically represent fundamental chapters of “The Capital”.",Writing and Teaching,,,,,20
Writings,272,1927-10-12,,1927,"Gets inspired to form a collection of film essays after reading Henri Barbusse, Faits divers","As a model for the formal structure he thinks of Joyce Ulysses, the idea of a collection of film essays arises when reading Henri Barbusse, Faits divers (Bl2.3, p. 289ff.) ",Writing and Teaching,,Ulysses;Henri Barbusse;Faits divers,,,20
Biography,273,1927-10-00,,1927,First encounter with the American writer Theodore Dreiser.,"First encounter with the American writer Theodore Dreiser, a ""living Himalayan"" in Moscow. After discussions about his method of staging, Eisenstein shows Dreiser parts of the General Line and the October. At least until 1938, they are connected - in addition to Eisensteins visits during his stay in America and the plan for a film adaptation of Dreisers novel An American Tragedy - by an irregular exchange of letters, in which Dreiser offers Eisenstein his book The Financier for film adaptation. (B11, p. 24; C21, p. 22)",Biography and Personality,October;General Line;An American Tragedy,Theodore Dreiser;living Himalayan;October;General Line;An American Tragedy;The Financier,,20,20
Biography,274,1927-11-00,,1927,First meeting with the film critic Leon Moussinac in Moscow.,"First meeting with the film critic Leon Moussinac in Moscow; Moussinac reports: ""I could see what extraordinary inventiveness and joy of discovery he was gifted with and that a deep passion for innovation and creation occupied him. We spent many hours in animated conversation, indeed we talked day and night. His expressiveness and the accuracy of his thinking, but also the illuminating insight he attributed to certain words, gave his ideas a clear, understandable form. There could be no doubt that he would make his mark on the world as a rich man in the spirit of Karl Marx: As a man for whom his own fulfilment had become an inner necessity, a need [...] He was particularly curious and interested in questions of Futurism, Constructivism and Surrealism. Jacques Feyders Visages denfants was shown at a party given for me, and I was surprised how cleverly Eisenstein analysed the merits and demerits of the film, even though few French films came to Moscow at the time - a state of affairs, incidentally, that Russian filmmakers could not complain about enough. ",Biography and Personality,,Leon Moussinac;Karl Marx;Futurism;Constructivism and Surrealism;Jacques Feyder;Visages d'enfants,,20,20
Cinema,275,1927-11-07,,1927,First screening of October in Moscow,First screening of October in Moscow in the production of Sovkino. After the premiere Eisenstein continues to work on new montage options.,Cinema and Theatre,October,October;Sovkino,,1,20
Cinema,276,1927-11-11,,1927,Edmund Meisel is in Moscow to conduct the music for Battleship Potemkinand discuss the October music with Eisenstein.,Edmund Meisel is in Moscow to conduct the music for Battleship Potemkin and discuss the October music with Eisenstein,Cinema and Theatre,October;Battleship Potemkin,October;Battleship Potemkin;Edmund Meisel,,1,20
Biography,277,1927-11-12,,1927,"Makes the acquaintance of Panait Istrati, Paul Vaillant-Couturier, Jacques Sadoul, Käthe Kollwitz, Diego Rivera and Arthur Holitscher.","At a reception at the house of the Peoples Commissariat for Foreign Affairs, Eisenstein makes the acquaintance of Panait Istrati, Paul Vaillant-Couturier, Jacques Sadoul, Käthe Kollwitz, Diego Rivera and Arthur Holitscher.",Biography and Personality,,People's Commissariat for Foreign Affairs;Panait Istrati;Paul Vaillant-Couturier;Jacques Sadoul;Käthe Kollwitz;Diego Rivera;Arthur Holitscher,,20,20
Cinema,278,1927-11-15,,1927,With Aleksandrov writes to Sovkino.,"Eisenstein and Aleksandrov write to Sovkino that they are beginning to assemble the first part of October: ""The work on the first part requires 45 days [...] For the reworking of the second part [which was assembled too hastily for the Jubilee celebrations] ten to fifteen days are required.",Cinema and Theatre,October,Grigori Aleksandrov;October,,1,20
Biography,279,1927-12-05,,1927,Meets Lewis Sinclair.,Meeting with the American writer Sinclair Lewis.,Biography and Personality,,Sinclair Lewis,,20,20
Cinema,280,1928-01-14,,1928,Demonstrates an almost complete version of October at the Sovkino.,"In front of a small circle of friends, Eisenstein demonstrates parts of the almost completely assembled October in Sovkino.",Cinema and Theatre,October,October;Sovkino,1,1,20
Biography,281,1928-03-00,,1928,Meets with the main representatives of the Novyi LEF in the house of Tretjakov.,"Eisenstein meets with the main representatives of the Novyi LEF in the house of Tretjakov.Even before the premiere of October, Eisenstein is heavily attacked by this group, as he does not present the October events as a documentary unwinding of factographic material, but as an artistic game. Eisenstein has nothing in common with the dogmatic demand of the Novyi LEF for documentary, unsupported reproduction of real material, the schematic separation of feature and documentary film. With this, the separation from the LEF group is completed.",Biography and Personality;Cinema and Theatre,October,Novyi Lef;October;Sergei Tret'jakov,,20,20
Biography,282,1928-03-14,,1928,World premiere of October in Moscow.,World premiere of the October in Moscow. ,Biography and Personality;Cinema and Theatre,October,October,,20,20
Cinema,283,1928-03-15,,1928,First All-Unions party consultation on film issues in Moscow.,First All-Unions party consultation on film issues in Moscow.,Cinema and Theatre,,,,1,20
Cinema,284,1928-03-29,,1928,October is released unabridged by the German censorship under the title Ten days that shook the world.,October is released unabridged by the German censorship under the title Ten days that shook the world.,Cinema and Theatre,,,,1,20
Cinema,285,1928-04-00,,1928,Eisenstein and Vsevolod Pudovkin are asked by the VUFKU to judge Aleksandr Dovženkos film Zvenigora.,Eisenstein and Vsevolod Pudovkin are asked by the VUFKU to judge Aleksandr Dovženkos film Zvenigora,Cinema and Theatre,,Zvenigora;VUFKU,,1,20
